group,gene,n_age_points,min_cells_per_age,slope_expr_vs_age,gene_class
Astrocyte,Atf4,3,31,-0.004791476076873852,Other proteostasis/stress
Astrocyte,Atf6,3,31,0.0021067178479316404,Other proteostasis/stress
Astrocyte,Bag3,3,31,-0.003716440414020166,Other proteostasis/stress
Astrocyte,Ddit3,3,31,7.636527966553208e-4,Other proteostasis/stress
Astrocyte,Dnajb1,3,31,-0.004303856702628988,Other proteostasis/stress
Astrocyte,Dnajb6,3,31,-0.0017341074162713693,Other proteostasis/stress
Astrocyte,Eif2ak3,3,31,-0.008192712208997699,Other proteostasis/stress
Astrocyte,Hsf1,3,31,0.012019594903776028,HSP/chaperone
Astrocyte,Hsp90aa1,3,31,-0.02303890000144757,HSP/chaperone
Astrocyte,Hsp90ab1,3,31,-0.03572882362548866,HSP/chaperone
Astrocyte,Hspa1a,3,31,-0.0013453569229548946,HSP/chaperone
Astrocyte,Hspa5,3,31,-0.030806551637453463,HSP/chaperone
Astrocyte,Hspd1,3,31,-0.017628414997701132,HSP/chaperone
Astrocyte,Hsph1,3,31,-0.007524790668632242,HSP/chaperone
Astrocyte,Psmb5,3,31,-1.5412375751068985e-4,Other proteostasis/stress
Astrocyte,Xbp1,3,31,-0.004745488393062155,Other proteostasis/stress
Atlas neuron label,Atf4,3,123,-0.016361072696005004,Other proteostasis/stress
Atlas neuron label,Atf6,3,123,-0.013007335655985927,Other proteostasis/stress
Atlas neuron label,Bag3,3,123,-0.0038763716595928252,Other proteostasis/stress
Atlas neuron label,Ddit3,3,123,-0.006316787896390391,Other proteostasis/stress
Atlas neuron label,Dnajb1,3,123,-0.021842631056178636,Other proteostasis/stress
Atlas neuron label,Dnajb6,3,123,-0.03256089049324513,Other proteostasis/stress
Atlas neuron label,Eif2ak3,3,123,-0.01163370547538853,Other proteostasis/stress
Atlas neuron label,Hsf1,3,123,-0.006823487684070049,HSP/chaperone
Atlas neuron label,Hsp90aa1,3,123,-0.03646052660374752,HSP/chaperone
