gene_mouse,gene_upper
Xkr4,XKR4
Rp1,RP1
Sox17,SOX17
Mrpl15,MRPL15
Lypla1,LYPLA1
Tcea1,TCEA1
Rgs20,RGS20
Atp6v1h,ATP6V1H
Oprk1,OPRK1
Npbwr1,NPBWR1
Rb1cc1,RB1CC1
St18,ST18
Pcmtd1,PCMTD1
Sntg1,SNTG1
Rrs1,RRS1
Adhfe1,ADHFE1
2610203C22Rik,2610203C22RIK
Mybl1,MYBL1
Vcpip1,VCPIP1
1700034P13Rik,1700034P13RIK
Sgk3,SGK3
Snhg6,SNHG6
Ppp1r42,PPP1R42
Cops5,COPS5
Cspp1,CSPP1
Arfgef1,ARFGEF1
Cpa6,CPA6
Prex2,PREX2
A830018L16Rik,A830018L16RIK
Sulf1,SULF1
Slco5a1,SLCO5A1
Prdm14,PRDM14
Ncoa2,NCOA2
Tram1,TRAM1
Lactb2,LACTB2
Xkr9,XKR9
Gm5523,GM5523
Eya1,EYA1
Msc,MSC
Trpa1,TRPA1
Kcnb2,KCNB2
Terf1,TERF1
4930444P10Rik,4930444P10RIK
Rpl7,RPL7
Rdh10,RDH10
Stau2,STAU2
Ube2w,UBE2W
D030040B21Rik,D030040B21RIK
Tmem70,TMEM70
Ly96,LY96
Jph1,JPH1
Gdap1,GDAP1
Pi15,PI15
Crispld1,CRISPLD1
Tfap2b,TFAP2B
Pkhd1,PKHD1
Il17a,IL17A
Il17f,IL17F
Mcm3,MCM3
6720483E21Rik,6720483E21RIK
Paqr8,PAQR8
Efhc1,EFHC1
Tram2,TRAM2
Tmem14a,TMEM14A
Gsta3,GSTA3
Gm4956,GM4956
Khdc1a,KHDC1A
Khdc1c,KHDC1C
Khdc1b,KHDC1B
Kcnq5,KCNQ5
Rims1,RIMS1
4933415F23Rik,4933415F23RIK
Ogfrl1,OGFRL1
B3gat2,B3GAT2
Smap1,SMAP1
Fam135a,FAM135A
Col9a1,COL9A1
Col19a1,COL19A1
Lmbrd1,LMBRD1
Gm20172,GM20172
4931408C20Rik,4931408C20RIK
Phf3,PHF3
Ptp4a1,PTP4A1
4931428L18Rik,4931428L18RIK
Gm4850,GM4850
Khdrbs2,KHDRBS2
Gm5415,GM5415
Prim2,PRIM2
1700001G17Rik,1700001G17RIK
Rab23,RAB23
Bag2,BAG2
Zfp451,ZFP451
Gm15455,GM15455
Bend6,BEND6
Dst,DST
Ccdc115,CCDC115
Imp4,IMP4
Ptpn18,PTPN18
Prss39,PRSS39
Cfc1,CFC1
Arhgef4,ARHGEF4
Fam168b,FAM168B
Plekhb2,PLEKHB2
Hs6st1,HS6ST1
Uggt1,UGGT1
Neurl3,NEURL3
Arid5a,ARID5A
Lman2l,LMAN2L
Cnnm4,CNNM4
