gene,jenage_blood_age_logFC_per_year,jenage_blood_age_logFC_per_decade,jenage_blood_age_t,jenage_blood_age_p,jenage_blood_age_fdr,jenage_blood_age_ave_log2_rpkm
LRRN3,-0.041014522812094056,-0.41014522812094056,-8.631306979757198,3.3907989838895847e-12,9.463719964035831e-8,2.330860562775339
MEST,-0.008466259372582496,-0.08466259372582496,-7.56048232476825,2.3909204656849606e-10,2.7093351729372358e-6,0.9543952557418645
NT5E,-0.017825109579318762,-0.17825109579318762,-7.510975826929773,2.912219820426982e-10,2.7093351729372358e-6,1.6925346344538492
ROBO1,-0.0011445493765491787,-0.011445493765491787,-7.122859665281795,1.3653601502464464e-9,9.52680044834458e-6,0.03822100995569109
ZFP112,-0.004854527079053038,-0.048545270790530386,-6.99019416763891,2.3131188965796086e-9,1.1962020446701093e-5,0.3682853240747559
RP11-61O1.1,-0.007706740527475791,-0.0770674052747579,-6.963518273403108,2.571555810827895e-9,1.1962020446701093e-5,0.24827963510359552
NRCAM,-0.00898619893833037,-0.08986198938330371,-6.910845298083981,3.169409502511015e-9,1.2636888459297491e-5,0.2677101920417724
CACHD1,-0.005236719678796627,-0.05236719678796627,-6.810176956998132,4.723951799649884e-9,1.6480686841028535e-5,0.174827426244983
DNTT,-0.003473257565271227,-0.03473257565271227,-6.39880065389369,2.3958102948598803e-8,6.732449323031359e-5,0.12212264382092111
REG4,-0.01077236328486519,-0.10772363284865191,-6.397065676353334,2.4121996857869435e-8,6.732449323031359e-5,0.37950880102747175
SLC4A10,-0.017742240564079265,-0.17742240564079265,-6.344925432538381,2.9602807054553983e-8,7.511039499023651e-5,1.0297737774069855
CR2,-0.013870901721597603,-0.13870901721597603,-6.2717332216231725,3.944108041630825e-8,9.173337953493028e-5,1.1278407965813106
RP5-997D24.3,-0.007801438905502877,-0.07801438905502876,-6.145190122927709,6.46824045400753e-8,1.3886814697796167e-4,0.37794599301932796
ZNF229,-0.003775535561671379,-0.03775535561671379,-6.033919988259616,9.976786433427288e-8,1.9172780406543553e-4,0.20390237706298092
SPINK2,-0.016646587919473224,-0.16646587919473224,-6.025610918709258,1.0304253174423263e-7,1.9172780406543553e-4,1.5358522802502097
SLC7A3,-0.0014063516337849081,-0.014063516337849082,-5.8993078245044215,1.6815176415130965e-7,2.6461062617730204e-4,0.030456488097991504
AC004696.2,-0.021972527995344653,-0.21972527995344654,-5.890513311947466,1.739695538684109e-7,2.6461062617730204e-4,2.1275510417214134
ERVH48-1,-0.0022733605118325185,-0.022733605118325187,-5.889010447498998,1.7498348070627788e-7,2.6461062617730204e-4,0.06516575475040944
CDCA7L,-0.013345099778732784,-0.13345099778732783,-5.88150374449633,1.8013621989855745e-7,2.6461062617730204e-4,1.820890233329599
HOOK1,-0.009452703245636995,-0.09452703245636995,-5.862792229197166,1.936431232068168e-7,2.7022897843511284e-4,0.8757814834076212
CHML,-0.007201038295996189,-0.0720103829599619,-5.777070832520496,2.694964248751662e-7,3.581735818221852e-4,1.3044647082682044
RP11-247A12.2,-0.003702652426631682,-0.03702652426631682,-5.760541742891976,2.871930498009125e-7,3.6434354636106673e-4,0.2088102452282355
LEF1-AS1,-0.011447290977081455,-0.11447290977081455,-5.6598648550738915,4.226466423426748e-7,4.891723342240015e-4,0.7489181160296833
CNN3,-0.009351532790818748,-0.09351532790818748,-5.659161420653341,4.237865692566499e-7,4.891723342240015e-4,0.6916411083003903
NBEA,-0.002768643069665178,-0.02768643069665178,-5.650443075162612,4.381694143891092e-7,4.891723342240015e-4,0.17581083543539217
PLAG1,-0.008304251806202435,-0.08304251806202435,-5.63434313086258,4.6600851092194017e-7,5.002422130704366e-4,0.6901807272961097
RP11-103C16.2,-0.004870396533098125,-0.048703965330981244,-5.5843624766507896,5.640423186234266e-7,5.830526338066606e-4,0.1530538100222243
ZNF518B,-0.00700306416481459,-0.0700306416481459,-5.563125888187312,6.11620867821392e-7,6.096549436033947e-4,1.9538193803520996
ZDBF2,-0.00221692954991445,-0.022169295499144502,-5.535855091197178,6.785657913222932e-7,6.530610770967312e-4,0.19392751951806972
CYP2J2,-0.004275250809613988,-0.04275250809613988,-5.434305321617336,9.977320792727887e-7,9.282234110834511e-4,0.2674558537340016
SERPINE2,-0.005282764867170376,-0.05282764867170376,-5.412225617443773,1.0846670776154373e-6,9.76550262459576e-4,0.3233676112414466
IL6ST,-0.0122681395857974,-0.122681395857974,-5.382209277209586,1.2149269562122812e-6,0.0010390759541193749,3.850018595807573
BACH2,-0.012662438947894207,-0.12662438947894208,-5.3729418527910004,1.2581730711683767e-6,0.0010390759541193749,1.9784109010479152
SLC16A10,-0.0052850069653762434,-0.05285006965376243,-5.371339268014969,1.2658037420300517e-6,0.0010390759541193749,0.3618363764870989
NELL2,-0.01940003986536231,-0.19400039865362312,-5.354580526147757,1.3483818731638298e-6,0.0010575428170284482,3.3676277832358603
AC005083.1,-0.007012186838438679,-0.07012186838438679,-5.351508887532166,1.3640824583670417e-6,0.0010575428170284482,0.6743435333766707
RAD54B,-0.006471431420584972,-0.06471431420584972,-5.340507292600467,1.4218081186342154e-6,0.0010725044484075933,0.6056284131834605
NOG,-0.02225111251774527,-0.2225111251774527,-5.316612294088848,1.5555988666047041e-6,0.0011425464307088763,1.5857754274539935
ZNF649,-0.007022204981542829,-0.07022204981542829,-5.261551509387101,1.912872182895118e-6,0.0013541660474265115,1.6863775739316458
TAF4B,-0.007288989644388944,-0.07288989644388943,-5.255436234533253,1.9572212187089223e-6,0.0013541660474265115,0.9757335746045187
IGSF11,-0.0013065449286045617,-0.013065449286045618,-5.247143781356394,2.0189789820228774e-6,0.0013541660474265115,0.05325946353776829
MAML2,-0.008176180033727084,-0.08176180033727083,-5.244666285927957,2.037799139803421e-6,0.0013541660474265115,2.3160224023864466
MANEAL,0.0038725113697231656,0.03872511369723165,5.198408039039273,2.4226227932318993e-6,0.001556658221364782,0.2959937311345091
TMEM106B,-0.008095286761141537,-0.08095286761141537,-5.1949542524791905,2.454065271947345e-6,0.001556658221364782,2.409993124272077
CDKN2A,0.003893072370203319,0.03893072370203319,5.18568390608829,2.5404573633095068e-6,0.0015756481113326296,0.35313507494922997
ZNF69,-0.00510602998849337,-0.0510602998849337,-5.156357309014244,2.833917736212894e-6,0.0017194487829935191,0.862948088979215
IL23R,-0.0027840488821878864,-0.027840488821878864,-5.14569592897174,2.9486562319585452e-6,0.0017509999028502766,0.1667822487026475
ZNF542,-0.009227636111053227,-0.09227636111053227,-5.122267155237462,3.2170712571073156e-6,0.0018705928913721913,1.6056965995557708
SPIC,-0.0032926318262427993,-0.03292631826242799,-5.0891699446892895,3.637569510119943e-6,0.002071929898519339,0.1262203300238398
CD248,-0.010624911589628527,-0.10624911589628527,-5.078524757351088,3.783950643150221e-6,0.0021122012490064537,0.42649770052882696
SCN3A,-0.005210902474143916,-0.05210902474143916,-5.055104078504929,4.12666234844608e-6,0.002224020237315121,0.25474728507513605
RP11-412B14.1,-0.0042774023603207945,-0.04277402360320794,-5.053993917395121,4.143642147631181e-6,0.002224020237315121,0.15480064699630866
RHPN2,-0.0020581649630745237,-0.020581649630745238,-5.037982546596296,4.396295398793789e-6,0.0022784822746124618,0.16669868841425567
HSF5,-0.00517438080429643,-0.0517438080429643,-5.03723917607481,4.408385626265602e-6,0.0022784822746124618,0.5487117455362684
CD70,0.006741867124935583,0.06741867124935583,5.001210042047486,5.0351511834782426e-6,0.002555110355106868,0.574955614968551
RP11-291B21.2,-0.02760762360371435,-0.2760762360371435,-4.987508437857618,5.2957714948788826e-6,0.002639374686108386,3.9386380045009126
FAM134B,-0.010056389911929642,-0.10056389911929642,-4.956783109000878,5.929227131856269e-6,0.0028762511090650073,2.2818256615103207
DR1,-0.005598189364327387,-0.05598189364327387,-4.954590860487414,5.977161029228607e-6,0.0028762511090650073,4.391123655076496
TRBV6-4,-0.017842720944725658,-0.1784272094472566,-4.918958338428456,6.811667909777153e-6,0.0031789262140225296,1.6196986060340788
SSBP2,-0.005863538589651411,-0.05863538589651411,-4.915798527552076,6.890955310310254e-6,0.0031789262140225296,2.014811102558287
ZNF667,-0.003071443459557374,-0.030714434595573742,-4.913552987674364,6.947850199046015e-6,0.0031789262140225296,0.17885326655436798
DDX6P2,-0.0023331476832972277,-0.023331476832972278,-4.903196554878716,7.2162599360950585e-6,0.003248480884135695,0.15373814174190148
ATP8A2,-0.002849472464632396,-0.02849472464632396,-4.898574258629119,7.339310119122506e-6,0.003251430879757288,0.22874370728487145
KLHL32,-0.003902810214285257,-0.03902810214285257,-4.858346495102485,8.5006627888835e-6,0.003663456486416595,0.4316834101653324
ENDOG,0.008071527974797882,0.08071527974797882,4.856721349052267,8.55117860486405e-6,0.003663456486416595,1.4701938933631227
RP11-4O1.2,0.008018991388089836,0.08018991388089836,4.853152797307414,8.663136083966151e-6,0.003663456486416595,1.709427774045033
DNAH6,-0.002454206694092175,-0.024542066940921748,-4.83606181270885,9.219536460274003e-6,0.0038405561583022,0.1551362979539906
RP11-428F8.2,-0.002369674773745127,-0.02369674773745127,-4.813036401068198,1.002472761700177e-5,0.004114560996919403,0.06878114264434097
RAB30,-0.008563797443369209,-0.08563797443369209,-4.79924338480653,1.0539591193734741e-5,0.00422136226371884,1.2319699934186459
RP11-61O1.2,-0.02077626291944496,-0.2077626291944496,-4.7979952677801645,1.0587436705851623e-5,0.00422136226371884,2.2493635483708045
CNST,-0.007915791042530793,-0.07915791042530793,-4.783498263590147,1.115896676232966e-5,0.004386574117417195,3.04601364345592
TCF4,-0.005956345168411731,-0.05956345168411731,-4.767657076429316,1.1817991469600263e-5,0.004581113082174213,0.9409555324939314
B3GNT2,-0.007709063077515834,-0.07709063077515835,-4.759987857412808,1.215056663931871e-5,0.004645511163060071,3.3897997078100617
FAM135A,-0.003597624451857314,-0.03597624451857314,-4.743754029614767,1.2884999933330192e-5,0.004859734434314131,0.7378751455968742
OXNAD1,-0.01222851450004078,-0.12228514500040781,-4.726202176846481,1.3727870945083261e-5,0.005078287270421529,3.2542208280814378
ZNF519,-0.002565086795852256,-0.02565086795852256,-4.724180041270377,1.3828370926264283e-5,0.005078287270421529,0.30791176917987184
ELOVL4,-0.007029961546774461,-0.07029961546774462,-4.720113648214688,1.403265083453149e-5,0.005086380321971089,0.615697454188063
SFRP5,-0.0043969326772251415,-0.04396932677225142,-4.661999671831729,1.7294873746529512e-5,0.00611084887875779,0.15124077412147277
C4ORF48,0.014697810286200295,0.14697810286200294,4.6619666828863915,1.729692086785616e-5,0.00611084887875779,2.937903199200101
OVCA2,0.00879412576732954,0.0879412576732954,4.64475730832812,1.83977176857077e-5,0.006418503757601274,1.2320225297337604
IGFBP7,0.011650289620497809,0.11650289620497808,4.635542329584297,1.901495116775046e-5,0.006551941815949572,1.3152763505708693
LEF1,-0.018218992225193673,-0.18218992225193673,-4.61823582532408,2.0229220089043513e-5,0.006885335764453713,4.448234472878489
MAP9,-0.003435456044487197,-0.034354560444871965,-4.609521034020345,2.0868974181060436e-5,0.007017506860161407,0.4443067826459773
RBM11,-0.008127803369699321,-0.08127803369699321,-4.596193807029761,2.1885649649675978e-5,0.007229706725124047,0.818257558621429
ZIK1,-0.007509167783744478,-0.07509167783744478,-4.594502228552244,2.2018096439826013e-5,0.007229706725124047,1.284418135623912
EDAR,-0.01067176739497997,-0.1067176739497997,-4.581807164206901,2.3037334400283187e-5,0.0074687802405249285,0.8202750674927511
FOXJ1,-0.002644655521133485,-0.02644655521133485,-4.5788485120717715,2.3281400248142917e-5,0.0074687802405249285,0.11542855312963295
CD63,0.006166661560828132,0.061666615608281315,4.5635093398300945,2.4587718154709332e-5,0.007798218337476562,6.488846069029086
LCA5,-8.703870800701496e-4,-0.008703870800701497,-4.556840213129384,2.5177700897048465e-5,0.00789561384310812,0.05143819633037079
CHORDC1,-0.006901296597559622,-0.06901296597559622,-4.548779918077696,2.5909176798852043e-5,0.007998255978516155,2.1813156276247896
GCNT4,-0.008786754657190176,-0.08786754657190177,-4.5452402948959145,2.623690239368773e-5,0.007998255978516155,1.004170760609228
THNSL1,-0.00862548404679278,-0.0862548404679278,-4.543871370367977,2.6364727697007745e-5,0.007998255978516155,1.5267848851653991
CCR12P,-0.009148087276671555,-0.09148087276671554,-4.524791560678094,2.8210733331247793e-5,0.008466253411560494,0.4553734154099355
RP3-477M7.5,-0.010172241058488666,-0.10172241058488665,-4.519596314967758,2.873480377562094e-5,0.008526027419373023,2.2935283788520033
CAMK4,-0.011864806887281748,-0.11864806887281748,-4.516799211786183,2.9020874412054357e-5,0.008526027419373023,2.2786795708386642
TTC33,-0.006967316255143612,-0.06967316255143613,-4.511392140715371,2.9581757579791275e-5,0.008543383163027555,2.5751508418918636
SATB1,-0.010642317615209368,-0.10642317615209368,-4.508369230368826,2.9899912467357196e-5,0.008543383163027555,2.7270010391694792
GPR125,-0.00332765818889091,-0.0332765818889091,-4.506402524672251,3.0108689812917264e-5,0.008543383163027555,0.28104792204012263
KCNS1,-0.0022730315796986693,-0.022730315796986693,-4.5045712206726325,3.030436879755385e-5,0.008543383163027555,0.13505272453810815
C1ORF122,0.0053913790149324806,0.053913790149324806,4.501537887709553,3.063121357651967e-5,0.00854917170920664,2.895173574690435
PTPRK,-0.005308433772206015,-0.05308433772206015,-4.496395841716934,3.119312801151745e-5,0.008619803988133187,0.46106342464710276
GLIS3,-8.178535502285348e-4,-0.008178535502285348,-4.479273550764962,3.313747779203552e-5,0.009067323580154033,0.05894878952931506
ZNF491,-0.0034534270574472768,-0.03453427057447277,-4.431947381064633,3.914524708399981e-5,0.01060722180693626,0.45247703842161946
NRIP1,-0.0061796010086685735,-0.06179601008668573,-4.425799195290677,3.999952752059499e-5,0.010660832918406452,1.6954194172431822
CCR6,-0.012619103275718965,-0.12619103275718965,-4.425034503640735,4.0107038926287263e-5,0.010660832918406452,2.5941440553161055
DCK,-0.008028960437059184,-0.08028960437059184,-4.4200372190375194,4.081657609345881e-5,0.010747081497815428,3.8828368213917113
SMARCA1,-0.002611859731798353,-0.02611859731798353,-4.407497750965487,4.265111811712161e-5,0.011125165482699664,0.15266403232521755
MRPL41,0.007985554087032087,0.07985554087032087,4.382069499490059,4.662048611351668e-5,0.01204794229100232,4.115648835824913
THAP2,-0.005034091968352594,-0.05034091968352594,-4.378841380393819,4.7149370742569625e-5,0.012072834288303837,1.1502173870060826
RBMS3,-7.036207075921707e-4,-0.007036207075921707,-4.374569742290985,4.785818547011384e-5,0.012104227382892296,0.05029039061730495
GNAI1,-0.0024617573716816652,-0.02461757371681665,-4.370559103781618,4.85331023594979e-5,0.012104227382892296,0.2634704587436339
MMP28,-0.007678404606113137,-0.07678404606113137,-4.370323494622089,4.857303715098306e-5,0.012104227382892296,0.4609209453280266
MT1E,0.017516315941179094,0.17516315941179095,4.360574913091537,5.0253643404556035e-5,0.012412205198417335,1.8224054448847913
PLEKHF2,-0.0073616207265699,-0.073616207265699,-4.35331574589485,5.154161651058608e-5,0.0125209621232551,4.344495132149538
SDR42E1,-0.005858449319923332,-0.05858449319923332,-4.353039770043578,5.159120903526824e-5,0.0125209621232551,0.9032386716782865
ASIC1,-9.417060684819538e-4,-0.009417060684819538,-4.34750215927521,5.259615532857958e-5,0.012654816338109103,0.037378540927530714
PAWR,-0.0028750128646324495,-0.028750128646324494,-4.337900481635289,5.4383836955000427e-5,0.012973101618923606,0.35740559251004206
AFAP1L1,-6.527572276747118e-4,-0.006527572276747118,-4.334431799473195,5.504403676421513e-5,0.013019314119400376,0.02429982808979765
ZNF354C,-0.004515835199186145,-0.04515835199186145,-4.330968480188428,5.571097122224183e-5,0.01306632946901487,0.8134171242729191
FAM216A,-0.0056390175144788585,-0.056390175144788585,-4.309886565688284,5.994306673371631e-5,0.013941758271150186,1.6329755710733433
BTLA,-0.011823533409344684,-0.11823533409344683,-4.303648613288528,6.125398518074087e-5,0.014128915094169237,2.783678563317664
CHRNB3,-7.558109273906672e-4,-0.007558109273906672,-4.293402391672667,6.346780576480223e-5,0.014519561138488775,0.026139148332618132
