gene_symbol,log_fc,t,p_value,adj_p_val,delta_mesor,mesor_p,mesor_FDR,rhythmic_SR_effect_amplitude,SR_effect_acrophase_h
LCN2,0.28182445217172764,7.097176472604193,5.493820451885673e-12,8.386699125865322e-8,0.2751415282311563,1.5572764544441895e-11,2.583945281587202e-7,0.04975754940781406,18.73127269715992
GYPB,0.3098592349416661,6.906128060058424,1.8620319398379924e-11,8.386699125865322e-8,0.30646676559471087,2.6446397641750185e-11,2.583945281587202e-7,0.0654996779260935,12.866185279567093
TSTA3,0.18980381239680716,6.967321393867152,1.2629249755955788e-11,8.386699125865322e-8,0.1834986937190965,7.627900958299605e-11,4.968560420871086e-7,0.0455667674189061,2.894479650534032
AHSP,0.3141208675848088,6.883659181333526,2.14592373109496e-11,8.386699125865322e-8,0.30395450535968355,1.1383967012922528e-10,5.561352484987978e-7,0.06232686088688011,22.81169659197692
HBD,0.15609931988916395,6.955673464747033,1.3600609065814295e-11,8.386699125865322e-8,0.14437502519913514,6.781587426286392e-10,2.650379997941248e-6,0.03780585989258682,19.00727849728697
TXNIP,-0.17049694498207624,-5.894586965095668,7.746701080645422e-9,3.192055057633476e-6,-0.18198269586509072,8.193619771719301e-10,2.6685253993194477e-6,0.05489015378900754,12.553261781017936
CACNB4,-0.2680310747818467,-6.400719124905559,4.15791733252421e-10,4.657220484284499e-7,-0.2617563169898778,9.686275563096175e-10,2.7039930111208915e-6,0.01826174041680833,2.758798855449786
PLEK2,0.2329278530039716,6.074840712406296,2.793781066608613e-9,1.7610734136322228e-6,0.23189490241652275,3.4417787120034715e-9,8.40697472640748e-6,0.01461790476759932,15.716753548957058
UBTF,-0.08917829939934697,-6.251881420998678,1.0021595541247283e-9,8.901454475977871e-7,-0.0861242717304601,7.229072845702025e-9,1.5695923608651475e-5,0.06360686518807453,11.999132750581056
OLFM4,0.3124613508090651,5.984838604979179,4.663053319331606e-9,2.376055475906742e-6,0.3094581662242158,8.496012961085887e-9,1.660205892725793e-5,0.09260427741981692,13.688685636241214
SYNJ2,-0.15680002380135544,-6.588382959595982,1.3403556282235639e-10,2.319803799749091e-7,-0.13946120471019047,1.4126430761647028e-8,2.5094962137576777e-5,0.01195595011789292,6.22387988151878
GBGT1,0.1319550850622373,6.168768902685621,1.6263607988756454e-9,1.2223352450318844e-6,0.12481616968135512,1.7959258235529613e-8,2.662379374055322e-5,0.04470757343024326,0.8433377928221155
LTF,0.3355131635343645,5.9818656468209594,4.7421402978538936e-9,2.376055475906742e-6,0.320735037358831,1.897812540553553e-8,2.662379374055322e-5,0.1349405130394129,14.574233438388667
ZBTB38,-0.10988840488469112,-6.7066783999608015,6.481613373638756e-11,1.540778710531625e-7,-0.09955888981699935,1.9074413406056245e-8,2.662379374055322e-5,0.0589227828946969,12.1401750191596
PARP1,-0.13264899856844736,-6.578386684075563,1.424576306073849e-10,2.319803799749091e-7,-0.11963894519952088,2.2209996970171216e-8,2.8933703386274385e-5,0.07333506063310968,10.324735630520037
CEP192,-0.07493536669283396,-6.008422003363227,4.079701227158094e-9,2.214484491108231e-6,-0.07262048315696508,2.7264956628193295e-8,3.329903234197032e-5,0.03295276354100496,13.05036849412245
PDE4B,-0.1453688222436794,-5.686101116199862,2.444100572123088e-8,7.703253109654396e-6,-0.14371505734652126,2.9785573862597587e-8,3.3315990193784696e-5,0.02133287568554854,23.54100908250303
CXCR3,-0.1548081549104374,-6.37318077024331,4.898851005285109e-10,5.038339341804016e-7,-0.1407136350934181,3.1470619197601754e-8,3.3315990193784696e-5,0.07855746942677772,11.818194051923449
PI3,0.2175901962738407,6.043012319122486,3.350964963536168e-9,2.046287698514383e-6,0.203206580771232,3.2784033930464586e-8,3.3315990193784696e-5,0.1392027075277554,19.13790853690599
ISCA1,0.15250747878743875,6.530329020811991,1.9076027212645759e-10,2.6080031149870226e-7,0.13501846847440538,3.5785573743224315e-8,3.3315990193784696e-5,0.01721009935316014,23.0517359529708
GLCCI1,-0.11556721174054783,-5.454555931202209,8.420578772049517e-8,1.7886073387447226e-5,-0.11913479276079716,3.580347955936127e-8,3.3315990193784696e-5,0.06124745251938036,11.55323552608432
HBG1,0.227605914554914,5.593535970624172,4.027575812948841e-8,1.0493714528111108e-5,0.2283728109555379,3.8126629727407303e-8,3.3865112341057554e-5,0.04261348267164022,20.4569041757929
SLPI,0.250079506987457,6.169807220487316,1.6166035540327107e-9,1.2223352450318844e-6,0.22807663927325997,4.3510157274937224e-8,3.6966607969980354e-5,0.09959053509835034,20.438341856914732
HPS1,0.1130637066924541,5.878088679991005,8.494287037354319e-9,3.192055057633476e-6,0.10745010500564484,6.065677096200124e-8,4.938724839035277e-5,0.0216791738937453,22.467604988511415
RHCE,0.2134365615920125,5.7641212898642,1.5961136015980163e-8,5.19827598147114e-6,0.20581094640930553,6.40324228555994e-8,5.005030300085071e-5,0.03254502880452008,16.168962081517204
KIF21A,-0.20335120020719055,-5.847772410276713,1.005574276557894e-8,3.572713988766874e-6,-0.1920825889626426,7.986827920061826e-8,5.810806685241429e-5,0.15009448344162885,9.527301062873727
LRIG1,-0.10856113009760708,-6.113014338824038,2.2440791587514072e-9,1.5661268157557591e-6,-0.10034469244200328,8.259805646718168e-8,5.810806685241429e-5,0.05761163257592542,11.777763775556704
ZC3H4,-0.1156254562699343,-5.84090560506769,1.0446532104038897e-8,3.5813277867548077e-6,-0.1090225060915532,8.326216016926462e-8,5.810806685241429e-5,0.06762622702832992,13.236272913408785
AEBP2,-0.12018233426729136,-6.55778782251868,1.6148216647343994e-10,2.42732539619807e-7,-0.10556876660297689,9.366688812282513e-8,6.021616684433666e-5,0.07455239830999583,14.100626939199833
PAGE2B,0.26466047374912494,5.644985908490456,3.0536909337277824e-8,8.90629470686188e-6,0.2558274929782346,9.521318570323513e-8,6.021616684433666e-5,0.07674550964455273,5.534777734108767
KDELC1,-0.28657854354738993,-5.4194714811611675,1.0119704906456269e-7,1.901434169010211e-5,-0.287537379232696,9.86759011238637e-8,6.021616684433666e-5,0.1603466175400375,12.756020988405776
RNF123,0.18990218522921185,6.082675631340028,2.6711660923548613e-9,1.739908553690212e-6,0.17301175863865553,9.928448221665863e-8,6.021616684433666e-5,0.05048817708792262,20.018804664770325
COG3,-0.06081869884051916,-5.4512122916741985,8.569737798488301e-8,1.7886073387447226e-5,-0.06074621220277836,1.0169047161676015e-7,6.021616684433666e-5,0.01207872526925742,12.378571423607212
MOB2,0.10527409057944398,5.439373532345046,9.11878318089114e-8,1.8131396044886217e-5,0.10463081093465287,1.1346128451984337e-7,6.521020472947821e-5,0.07902682318365009,0.9329536417037788
KLHL24,-0.06373344289823071,-5.451941932489039,8.536971258656055e-8,1.7886073387447226e-5,-0.06260114229669411,1.313830588977224e-7,7.335303868343981e-5,0.01332234881659648,0.12907665182329947
VTI1B,0.09118916872798098,5.368254346674236,1.3211424112989853e-7,2.3050396302851312e-5,0.09094506999470998,1.4328271781408162e-7,7.777465524458247e-5,0.01663094150238199,13.96674238416006
HECA,-0.1185953467460354,-5.069357172236122,6.008003436443199e-7,6.146722259242751e-5,-0.12468938019536956,1.6435550038617577e-7,8.680191440665568e-5,0.04667161104461365,12.692057311500916
SFMBT1,-0.08686437792971226,-5.405710114256493,1.0873376879137321e-7,2.004496769766249e-5,-0.08565258949502962,1.734496600699596e-7,8.919420545860738e-5,0.02731983799138437,9.578989709936463
PRKCE,-0.1683139821449529,-5.608200579839964,3.722789293281634e-8,1.00633901296959e-5,-0.16186814636583705,1.813562570852823e-7,9.08687851206026e-5,0.03336281516900364,12.043579257701248
URB2,-0.0949715118949474,-5.446500652033207,8.784288656423138e-8,1.789516343403891e-5,-0.0933029105957365,2.181287823500103e-7,1.0143251085080528e-4,0.05869259566498587,12.068988457534536
ECSIT,0.10926515223337098,5.381892361640683,1.230854037291295e-7,2.206616398413688e-5,0.10710929725252828,2.2170411257406e-7,1.0143251085080528e-4,0.04092779557129355,2.591460473951938
C16ORF7,0.1386017058254093,5.960265566217808,5.357416303927538e-9,2.5431771268884405e-6,0.12612458368324078,2.2175609333500705e-7,1.0143251085080528e-4,0.03297935358710165,21.241512042239833
IER5L,0.1234306331012022,5.093426131775183,5.332142526874255e-7,5.8536739953735854e-5,0.12711128199909807,2.232023932544203e-7,1.0143251085080528e-4,0.0599984962005442,1.5626165977040536
DCAF5,-0.08202297384540438,-6.6228209134678355,1.0859425519280103e-10,2.122040340722525e-7,-0.07040858273091537,2.353708393701939e-7,1.0281276265231933e-4,0.04539349870021751,14.0982930192501
