Affymetrix ID	Gene Symbol	Gene or mRNA Description	Accession	Direction	Sham Adj. P value	ADX Adj. P value
10471586	Hspa5	heat shock protein 5	NM_022310	up	1.49e-10	1.88e-08
10429491	Arc	activity regulated cytoskeletal-associated protein	NM_018790	up	1.52e-09	3.50e-08
10556113	Rbm3	RNA binding motif protein 3	ENSMUST00000115616	down	2.66e-09	2.73e-07
10358454	Rbm3	RNA binding motif protein 3	ENSMUST00000115616	down	2.66e-09	2.02e-07
10603469	Rbm3	RNA binding motif protein 3	NM_016809	down	2.66e-09	2.21e-07
10364712	Cirbp	cold inducible RNA binding protein	NM_007705	down	4.11e-09	1.57e-06
10394735	Pdia6	protein disulfide isomerase associated 6	NM_027959	up	5.99e-09	5.94e-07
10406626	Homer1	homer homolog 1 (Drosophila)	NM_147176	up	4.64e-08	4.08e-07
10435075	Tfrc	transferrin receptor	NM_011638	down	4.66e-08	3.75e-05
10426098	Creld2	cysteine-rich with EGF-like domains 2	NM_029720	up	4.66e-08	7.00e-06
10363350	P4ha1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide	NM_011030	up	8.47e-08	6.33e-05
10448471	Dnase112	deoxyribonuclease 1-like 2	NM_025718	up	9.46e-08	4.70e-05
10399680	Cys1	cystin 1	NM_138686	up	1.01e-07	0.008
10401743	4933437F05Rik	RIKEN cDNA 4933437F05 gene	BC125331	up	1.66e-07	3.75e-05
10535904	Hsph1	heat shock 105kDa/110kDa protein 1	NM_013559	up	1.91e-07	7.03e-05
10595324	Htr1b	5-hydroxytryptamine (serotonin) receptor 1B	NM_010482	up	2.55e-07	7.03e-05
10488048	Mkks	McKusick-Kaufman syndrome protein	NM_021527	up	2.55e-07	0.002
10544525	Pdia4	protein disulfide isomerase associated 4	NM_009787	up	2.55e-07	2.73e-05
10438098	Sdf211	stromal cell-derived factor 2-like 1	NM_022324	up	2.55e-07	3.75e-05
10401841	Dio2	deiodinase, iodothyronine, type II	NM_010050	up	2.55e-07	0.0004
10436552	Rbm11	RNA binding motif protein 11	NM_198302	down	2.55e-07	0.0002
10436945	Slc5a3	solute carrier family 5 (inositol transporters), member 3	NM_017391	up	3.04e-07	0.0001
10381474	Arl4d	ADP-ribosylation factor-like 4D	NM_025404	up	3.23e-07	0.02
10511580	Ppm2c	protein phosphatase 2C, magnesium dependent, catalytic subunit	NM_001098230	up	7.60e-07	9.70e-05
10504218	Dnajb5	DnaJ (Hsp40) homolog, subfamily B, member 5	NM_019874	up	7.60e-07	1.81e-05
10520862	Fosl2	fos-like antigen 2	NM_008037	up	7.60e-07	4.21e-05
10554863	Sytl2	synaptotagmin-like 2	NM_001040085	down	7.61e-07	0.0001
10572271	Tm6sf2	transmembrane 6 superfamily member 2	NM_181540	up	7.75e-07	0.001
10606989	Tsc22d3	TSC22 domain family, member 3	NM_001077364	up	7.75e-07	ns
10596575	Armet	arginine-rich, mutated in early stage tumors	NM_029103	up	8.18e-07	0.0002
10371482	Hsp90b1	heat shock protein 90, beta (Grp94), member 1	NM_011631	up	9.40e-07	0.004
10362073	Sgk1	serum/glucocorticoid regulated kinase 1	NM_011361	up	1.42e-06	ns
10352918	---	MI0000577 Mus musculus miR-29c stem-loop	---	up	1.60e-06	0.007
10511136	B930041F14Rik	RIKEN CDNA B930041F14 gene	NM_178699	down	1.61e-06	ns
10459602	Ptpn2	protein tyrosine phosphatase, non-receptor type 2	NM_001127177	up	1.61e-06	0.002
10352916	---	MI0000712 Mus musculus miR-29b-2 stem-loop	---	up	1.61e-06	ns
10478160	2310007D09Rik	RIKEN cDNA 2310007D09 gene	BC068129	up	2.26e-06	ns
10397346	Fos	FBJ osteosarcoma oncogene	NM_010234	up	2.32e-06	2.57e-06
10571824	EG547103	predicted gene, EG547103	ENSMUST00000098764	down	3.17e-06	0.0003
10357660	Mfsd4	major facilitator superfamily domain containing 4	NM_001114662	down	3.19e-06	7.03e-05
10544629	Tra2a	Transformer 2 alpha homolog (Drosophila)	NM_198102	up	3.42e-06	0.0001
10550605	Eml2	Echinoderm microtubule associated protein like 2	BC055476	down	3.42e-06	0.001
10584580	---	snoRNA, chromosome: NCBIM37: 9: 40612831: 40612920:1 gene:ENSMUSG00000064791	ENSMUST0000082857	up	3.42e-06	0.0002
10417013	Dnajc3	DnaJ (Hsp40) homolog, subfamily C, member 3	NM_008929	up	3.42e-06	0.0008
10417034	Dnajc3	DnaJ (Hsp40) homolog, subfamily C, member 3	NM_008929	up	3.42e-06	0.0008
10356601	Per2	period homolog 2 (Drosophila)	NM_011066	up	3.70e-06	ns
10385052	Ranbp17	RAN binding protein 17	NM_023146	down	3.95e-06	0.004
10352914	A330023F24Rik	RIKEN cDNA A330023F24 gene	AK171382	up	3.95e-06	0.005
10398442	---	MI0001161 Mus musculus miR-410 stem-loop	---	up	5.57e-06	9.38e-05
10498302	Gm410	gene model 410, (NCBI)	NM_001033349	up	5.83e-06	ns
10443463	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	NM_007669	up	5.93e-06	0.003
10485402	Fjx1	four jointed box 1 (Drosophila)	NM_010218	down	5.96e-06	ns
10467529	Opalin	oligodendrocytic myelin paranodal and inner loop protein	NM_153520	down	7.05e-06	0.04
10517005	Gpr3	G-protein coupled receptor 3	NM_008154	up	7.61e-06	0.0001
10366043	Dusp6	dual specificity phosphatase 6	NM_026268	up	7.61e-06	8.56e-05
10603860	Cfp	complement factor properdin	NM_008823	up	7.61e-06	0.004
10362372	9330159F19Rik	RIKEN CDNA 9330159F19 gene	AK034141	up	7.67e-06	ns
10524234	Galnt9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9	NM_198306	up	9.46e-06	0.0002
10541071	8430408G22Rik	RIKEN cDNA 8430408G22 gene	BC058515	up	9.71e-06	ns
10583347	Chordc1	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1	NM_025844	up	1.01e-05	0.03
10426315	Lrrk2	leucine-rich repeat kinase 2	NM_025730	up	1.01e-05	0.0004
10580765	Pllp	plasma membrane proteolipid	NM_026385	down	1.01e-05	0.005
10580219	Calr	calreticulin	NM_007591	up	1.01e-05	0.0004
10375735	Hnrnph1	heterogeneous nuclear ribonucleoprotein H1	NM_021510	up	1.01e-05	0.02
10464905	Npas4	neuronal PAS domain protein 4	NM_153553	up	1.17e-05	0.005
10505163	Zkscan16	zinc finger with KRAB and SCAN domains 16	NM_001099 323	down	1.41e-05	0.0002
10571312	Dusp4	dual specificity phosphatase 4	NM_176933	up	1.43e-05	0.0002
10408928	Hspb1	heat shock protein 1	NM_013560	up	1.46e-05	4.84e-05
10561907	0610010E21Rik	RIKEN CDNA 0610010E21 gene	NM_001033 140	down	1.61e-05	0.008
10486403	Pla2g4e	phospholipase A2, group IVE	NM_177845	down	1.61e-05	0.006
10532954	2410014A08Rik	RIKEN CDNA 2410014A08 gene	NM_175403	up	1.61e-05	0.004
10361250	Camk1g	calcium/calmodulin-dependent protein kinase I gamma	NM_144817	up	1.61e-05	0.01
10526410	Hspb1	heat shock protein 1	NM_013560	up	1.61e-05	3.75e-05
10474129	E430002G05Rik	RIKEN cDNA E430002G05 gene	NM_173749	down	1.61e-05	0.002
10427035	Nr4a1	nuclear receptor subfamily 4, group A, member 1	NM_010444	up	1.91e-05	0.0004
10431894	Slc38a2	solute carrier family 38, member 2	NM_175121	up	1.91e-05	0.005
10510668	Tnfrsf25	tumor necrosis factor receptor superfamily, member 25	NM_033042	up	1.91e-05	0.0001
10532944	2410014A08Rik	RIKEN CDNA 2410014A08 gene	NM_175403	up	1.97e-05	0.003
10584712	Hyou1	hypoxia up-regulated 1	NM_021395	up	2.07e-05	0.0001
10568873	Adam8	a disintegrin and metallopeptidase domain 8	NM_007403	up	2.09e-05	0.02
10505143	Akap2 // Palm2 // RP23-334A5.2	A kinase (PRKA) anchor protein 2 // paralemmin 2 // Palm2-Akap2 protein	ENSMUST0000107600	down	2.09e-05	0.002
10593225	Zbtb16	zinc finger and BTB domain containing 16	NM_001033 324	up	2.09e-05	ns
10477286	Pofut1	protein O-fucosyltransferase 1	NM_080463	down	2.17e-05	0.002
10583992	Igsf9b	immunoglobulin superfamily, member 9B	NM_001129 787	up	2.20e-05	0.0002
10536294	Peg10	paternally expressed 10	NM_001040 611	up	2.21e-05	0.005
10408879	Gfod1	glucose-fructose oxidoreductase domain containing 1	NM_001033 399	up	2.38e-05	3.75e-05
10439130	Umps	uridine monophosphate synthetase	NM_009471	up	2.45e-05	0.006
10596931	Wdr6	WD repeat domain 6	NM_031392	down	2.53e-05	0.005
10390283	Cdk5rap3	CDK5 regulatory subunit associated protein 3	NM_030248	down	2.60e-05	ns
10458461	Hdac3	histone deacetylase 3	NM_010411	down	2.94e-05	0.02
10514713	Wdr78	WD repeat domain 78	NM_146254	up	3.03e-05	0.003
10398356	---	---	AK049674	up	3.26e-05	0.0007
10567589	Usp31	ubiquitin specific peptidase 31	AK122466	up	3.49e-05	0.008
10504424	Reck	reversion-inducing-cysteine-rich protein with kazal motifs	NM_016678	down	3.78e-05	0.004
10374035	Xbp1	X-box binding protein 1	NM_013842	up	3.78e-05	0.0002
10560481	Fosb	FBJ osteosarcoma oncogene B	NM_008036	up	3.93e-05	0.0002
10489620	Ncoa5	nuclear receptor coactivator 5	NM_144892	up	3.94e-05	0.004
10358057	Shisa4	shisa homolog 4 (Xenopus laevis)	NM_175259	down	3.98e-05	ns
10516765	Serinc2	serine incorporator 2	NM_172702	up	4.12e-05	0.0002
10376074	P4ha2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4- hydroxylase), alpha II polypeptide	NM_011031	up	4.20e-05	0.03
10363144	EG547103	predicted gene, EG547103	ENSMUSTO 0000098764	down	4.22e-05	0.006
10504838	Nr4a3	nuclear receptor subfamily 4, group A, member 3	NM_015743	up	4.22e-05	0.0001
10444066	Zbtb22	zinc finger and BTB domain containing 22	NM_020625	down	4.22e-05	0.01
10456184	Apcdd1	adenomatosis polyposis coli down-regulated 1	NM_133237	down	4.34e-05	ns
10443482	BC004004	CDNA sequence BC004004	BC058575	down	4.64e-05	0.01
10400405	Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B- cells inhibitor, alpha	NM_010907	up	4.75e-05	ns
10479510	9230112E08Rik	RIKEN CDNA 9230112E08 gene	ENSMUSTO 0000094214	up	4.83e-05	0.0009
10415319	Irf9	interferon regulatory factor 9	NM_008394	up	5.07e-05	0.008
10573198	Dnajb1	DnaJ (Hsp40) homolog, subfamily B, member 1	NM_018808	up	5.12e-05	0.003
10409502	Dok3	docking protein 3	NM_013739	up	5.65e-05	0.0003
10449284	Dusp1	dual specificity phosphatase 1	NM_013642	up	6.25e-05	0.008
10606369	Itm2a	integral membrane protein 2A	NM_008409	down	7.45e-05	ns
10508217	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	NM_023603	up	7.55e-05	0.02
10535458	Zdhhc4	zinc finger, DHHC domain containing 4	NM_028379	down	7.62e-05	ns
10474399	Bdnf	brain derived neurotrophic factor	NM_001048 139	up	7.66e-05	0.0001
10475941	Zc3h6	zinc finger CCCH type containing 6	NM_178404	down	7.66e-05	0.001
10403743	Inhba	inhibin beta-A	NM_008380	up	7.73e-05	0.0003
10568982	BC066028	CDNA sequence BC066028	NM_001001 180	down	8.00e-05	0.001
10503602	Fbxl4	F-box and leucine-rich repeat protein 4	NM_172988	down	8.63e-05	0.008
10364841	9030607L17Rik	RIKEN CDNA 9030607L17 gene	NM_027829	down	8.75e-05	ns
10406229	Pcsk1	proprotein convertase subtilisin/kexin type 1	NM_013628	up	8.75e-05	0.0001
10521587	Dnaja1	DnaJ (Hsp40) homolog, subfamily A, member 1	BC158024	up	9.38e-05	ns
10353871	Lman21	lectin, mannose-binding 2-like	NM_001013 374	up	9.50e-05	0.002
10514708	Ins15	insulin-like 5	NM_011831	up	9.93e-05	ns
10415095	1700123020Rik	RIKEN cDNA 1700123020 gene	BC011283	up	0.0001	0.006
10388254	Aspa	aspartoacylase	NM_023113	down	0.0001	0.02
10483624	Dlx1as	distal-less homeobox 1, antisense	NR_002854	up	0.0001	ns
10397966	Otub2	OTU domain, ubiquitin aldehyde binding 2	NM_026580	up	0.0001	0.001
10363901	--	cdna:Genscan chromosome: NCBIM37:10: 71167116:71168033:1	GENSCANO 0000000670	up	0.0001	6.33e-05
10489569	Pltp	phospholipid transfer protein	NM_011125	down	0.0001	ns
10526553	Vgf	VGF nerve growth factor inducible	NM_001039	up	0.0001	3.75e-05
10541785	Acrbp	proacrosin binding protein	385	up	0.0001	0.005
10455942	A730017C20Rik	RIKEN cDNA A730017C20 gene	NM_016845	down	0.0001	0.01
10480035	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	BC075669	up	0.0001	0.001
10381697	Hexim1	hexamethylene bis-acetamide inducible 1	NM_133232	up	0.0001	0.003
10475946	Zc3h6	zinc finger CCCH type containing 6	NM_138753	down	0.0001	0.02
10436788	Hunk	hormonally upregulated Neu-associated kinase	NM_178404	down	0.0001	ns
10509218	Zfp46	zinc finger protein 46	NM_015755	down	0.0001	0.002
